m00,m10,m01,m20,m11,m02,m30,m21,m12,m03,mu20,mu11,mu02,mu30,mu21,mu12,mu03,nu20,nu11,nu02,nu30,nu21,nu12,nu03,target
11154.0,1930699.1666666665,2298108.833333333,345722598.5,397954221.9166666,483163278.1666666,63756583808.850006,71331662188.33333,83745738530.2,103499454020.75,11528652.635972679,163580.9424895048,9673569.555881858,-77292190.42455292,44248823.21790457,45290965.36959052,-35029464.06082153,0.0926653293325902,0.0013148355134777246,0.07775449022728582,-0.005882460434474938,0.003367635855856329,0.003446949948790145,-0.0026659800329993867,maison
10330.0,1405421.1666666665,2087150.5,209247949.8333333,285563629.5833333,431704477.8333333,33981789945.45,42760396595.26666,59171741465.73333,91228177864.05,18037044.14943263,1601820.2204178572,10000972.542892814,605140861.1519394,46512064.33186293,-209971084.0883503,-37967968.365356445,0.16903036344140585,0.015011121100656622,0.09372200953147128,0.05579633526316073,0.004288592791936286,-0.019360148612442382,-0.003500793993884013,marteau
10421.0,1559695.6666666665,2185600.6666666665,238760915.16666666,330132434.5833333,479550128.5,37359442423.9,50982017976.933334,72974218143.46666,109250480456.8,5323570.130798966,3016813.3508434296,21163191.149095416,30907419.27241516,3547889.31071043,-64775802.653457165,-202897330.18777466,0.04902122818017969,0.0277798342118418,0.19487779757770654,0.0027879774313801105,0.0003200343335078614,-0.005843046108302868,-0.018302180860362446,tortue
10536.5,1325545.8333333333,2106490.833333333,171186664.41666666,264901812.54166666,455761472.75,22644240574.550003,34204722886.483334,57638767287.35,104955498308.45001,4426188.331879407,-105556.80108100176,34625077.2754724,-5595779.218971252,7095721.209102631,343838959.1689329,-6508079.141357422,0.03986916554010995,-0.0009508094235104446,0.3118875280999949,-0.0004910431333972262,0.0006226666635485089,0.03017269861576023,-0.0005710996536701811,pont
11348.5,1646147.5,2248141.333333333,271200354.4166666,326506605.2083333,449981983.5833333,48795443250.850006,53542766011.833336,65420067866.86667,91033176361.5,32419758.58847347,404280.1862305999,4624495.400597632,51451135.22697449,-299392512.59574795,-11881317.128624082,59379378.568359375,0.25172876932740273,0.0031391027624574925,0.03590768675145432,0.003750151445687319,-0.021822011486935383,-0.0008660010786937733,0.0043280223341972315,montagne
10429.0,1640020.1666666665,2064439.0,262410727.66666666,330337731.8333333,456407646.5,42701144007.55,53815442227.28333,73839193569.51666,107818842715.1,4508134.218266934,5692838.473167777,47748294.23986,17689468.571800232,80311340.66066957,-187345888.75230408,-1431576975.8864899,0.041448756195689114,0.052341182074761065,0.439008093123903,0.00159260515582491,0.007230531244522088,-0.016866986542781993,-0.12888667986282137,renard
11243.0,1540990.6666666665,1774018.1666666665,218275918.16666666,247274169.66666666,304421152.3333333,31842118450.0,35510852399.25,42893440817.083336,55973073621.75,7064298.9588238,4123281.3512308896,24501161.61347556,-11763092.036060333,-60909615.34471631,-132415851.80407667,206848755.57395172,0.055886208776548166,0.03261959378878046,0.19383056141590962,-0.0008776391100100666,-0.004544439543473631,-0.009879488315852421,0.01543289444578836,cygne
9112.5,1691719.8333333333,1785876.0,323247418.75,333543731.875,356263524.25,63348735240.15,64124132117.933334,66949373008.96667,72269985995.3,9182563.387216926,1998947.3401303291,6265928.927530885,-71041833.01004791,31608120.155579567,26156106.145148754,-6866878.473297119,0.11058312339128581,0.02407278131878065,0.0754588846855957,-0.008962317086972382,0.003987537811944696,0.0032997363257811006,-0.0008662944024359443,coeur
10432.5,1354453.1666666665,866397.6666666666,186754411.0833333,112657547.875,80227938.25,27065248991.350002,15497805206.466667,10451447557.7,8109196435.400001,10905536.825642377,172998.3222295493,8275394.103779584,-12841711.374343872,-56685304.24995065,6707015.808398008,71922264.70257759,0.1002005860999422,0.0015895167343755615,0.07603471086879551,-0.001155186011319852,-0.005099170087857425,0.0006033347591849574,0.006469822569977066,bateau
10755.5,2487322.333333333,1532161.1666666665,581444508.4166666,351763550.625,242352037.25,137349081533.20001,81627686793.16667,55424532299.73333,41521072782.75,6225096.032418966,-2564810.5033580065,24089953.605226576,4694739.8424835205,-14977469.402789712,108812093.83412075,133711620.69681549,0.05381270785834768,-0.02217144885965624,0.2082450823132875,0.00039132268027257123,-0.0012484234839516925,0.009069861511796458,0.011145322541874355,lapin
12289.5,2011670.0,2409015.1666666665,359455034.0833333,410748593.0416666,488948176.5833333,68221645623.5,75680098734.56667,86551505717.33333,102644121302.95001,30164486.14403552,16416558.35121274,16727657.178147793,-492857985.04087067,-155535320.37468243,79488589.50276136,241425278.44302368,0.19972273452926798,0.10869603114760218,0.11075585434921843,-0.02943650618593538,-0.009289524689269489,0.004747546813947384,0.014419400553569012,chat
11293.5,2174291.5,1909570.1666666665,425701352.9166666,367271130.2916666,343350315.5833333,84606919940.45001,71813037255.21666,66255890752.15,65017874658.65,7093877.203003883,-370626.6514348388,20469169.665472507,-83136020.43710327,-24294190.617498636,277390065.73250055,40130751.73295593,0.055619432592455866,-0.0029058924289975994,0.16048820269262662,-0.006133633769631277,-0.0017923839413276229,0.020465365861772392,0.0029607784055068003,bol
